ID,Treatment,SM,ST,Tair,pH,SBD,SOM,SAK,SOP,SAN,△Height,Leaf Weight (g),Total leaf area (cm2),Specific leaf area (g/cm2),Leaf number,SPAD,Cond,Ci,Pn,R,Pg,Trmmol,CUE,WUEn,WUEg
1,C,5.65,27.45,24.9247773488363,6.15333333333333,1.25378446587887,22.0557066666667,16.3443749787506,18.8556771104895,113.4,7.5,1.65,72.3333333333333,0.02281105990783411,8,52.6,0.0416253737969817,227.530255642889,0.53001451000183,1.61871695151606,2.14873146151789,0.533953297538259,0.24666391286858216,0.9926233482317864,4.024193635331802
2,C,8.7,27.55,25.0682455698649,6.18666666666667,1.60957853032885,27.6299733333333,41.3116813425844,43.2543820707127,87.2666666666667,4.0,1.73,42.6666666666667,0.04054687499999997,8,74.6,0.0241546050898991,160.052643676306,1.41909916781317,0.736509917790695,2.155609085603865,0.2716696576741,0.6583286261366023,5.223620407088479,7.934670010847416
3,C,10.9,27.8,25.125644048055,5.10333333333333,1.50299989035285,18.6939066666667,51.4654617872295,15.3942350520308,80.7333333333333,3.0,1.75,32.2,0.05434782608695652,8,87.7,0.0259580259754659,246.200508486401,0.244299142346591,0.411628639670034,0.6559277820166249,0.297811527186394,0.3724482314127671,0.8203145951220663,2.202492926360414
4,C,10.3,27.45,25.2129751841227,5.23,1.77652570228234,18.9927333333333,22.1981722575553,23.4687442649055,56.0,4.9,2.29,47.3466666666667,0.048366657279639506,8,53.8,0.0376917754601532,240.57810684439,0.176486437081751,0.677203256259996,0.853689693341747,0.466009722753869,0.20673370951791536,0.37871835814671473,1.8319139100722968
5,C,6.95,27.65,25.243257522583,4.63,1.63212335891887,25.5094533333333,40.501189168204,57.5280755039008,119.0,3.5,2.61,62.8266666666667,0.04154286926994904,8,45.2,0.0499751724642389,214.525482270307,1.06936488848835,1.42334033608962,2.49270522457797,0.62953085170197,0.42899773224064225,1.6986695498675966,3.9596236115177033
6,C,6.7,27.4,25.3458493550618,6.61,1.76148449887063,19.0616933333333,45.8424540943907,19.3410049721599,63.9333333333333,1.5,2.27,45.9,0.04945533769063181,8,83.5,0.0345214166107795,233.115833278475,0.338645663467621,1.04967882593604,1.3883244894036608,0.396697972832854,0.24392400051452123,0.8536611897694446,3.499701497059633
7,L,5.6,27.3,25.3834743499756,5.88333333333333,1.48059087398326,31.60092,52.3679245344355,41.7944068094207,128.333333333333,0.0,2.18,54.9066666666667,0.03970373967945602,8,89.2,0.056508146109871,200.598567488358,1.63242356376497,0.265296670682393,1.897720234447363,0.754664224257179,0.8602024334953406,2.1631124297322764,2.514655092223699
8,L,11.25,27.45,25.5615730285645,5.48666666666667,1.201666526292,15.1878653333333,50.190211335219,16.249696691257,77.4666666666667,2.5,2.53,48.26,0.05242436800663075,8,62.5,0.034647143675928,193.386674950281,1.15428889414733,0.367608826317344,1.521897720464674,0.491574939378804,0.7584536586301583,2.348144304520462,3.095962789290833
9,L,9.4,27.45,25.6350816090902,5.41333333333333,1.56506607508561,27.2794266666667,20.8986053460822,35.1366994336023,127.4,2.5,3.05,42.3333333333333,0.07204724409448825,10,53.9,0.0715963934776221,213.447155298879,1.6001254947964,1.2138384823753,2.8139639771717,0.773446191418029,0.5686375190931469,2.0688258763841674,3.638215571289588
10,L,7.75,27.4,25.7063204447428,5.39,1.88507361945446,13.9873866666667,32.8175885373201,12.5190725865527,87.2666666666667,3.0,1.81,66.9866666666667,0.02702030254777069,10,46.5,0.0601116075492005,173.481043032606,3.28485572303972,1.37282236334134,4.657678086381059,0.649167830731845,0.7052560658162617,5.0601024381268385,7.174844263509153
11,L,9.7,27.15,25.752431233724,6.74,1.84507692054024,22.25684,44.722696804118,36.04331276778,36.8666666666667,1.4,1.6,62.0,0.025806451612903226,6,48.7,0.0371298235310695,77.3584500519446,4.17777659116798,1.49945979727328,5.67723638844126,0.464783829425879,0.7358820921520636,8.98864445505462,12.214788959964523
12,L,6.3,27.2,25.7674299875895,4.52666666666667,1.68750079179586,22.27408,77.5116168304683,24.6727348563751,87.7333333333333,2.3,2.02,70.3533333333333,0.028712214536150873,6,50.6,0.0654117182994147,227.143881819588,1.06241713914617,2.03849064459848,3.10090778374465,0.74202181309154,0.34261487707422156,1.431786937259625,4.1789981494278585
19,P,7.55,27.35,26.0164864857992,5.31333333333333,1.66495596320584,32.7272666666667,26.483810030112,15.2768641943851,142.333333333333,0.4,2.46,37.12,0.06627155172413793,8,89.8,0.0282095207082353,124.559296180367,2.30062513512567,1.36435129435003,3.6649764294756997,0.309618900559036,0.6277325869336601,7.43050611888276,11.837056532590093
20,P,9.7,27.25,26.0350907643636,5.91,1.55121322860259,29.27352,32.8626743549357,66.7371072315688,118.066666666667,6.5,1.75,31.82,0.05499685732243872,8,47.1,0.0615494762979169,212.466858301011,1.51127580274897,0.724118862760034,2.2353946655090042,0.641927662967419,0.6760666588621609,2.354277420858984,3.4823155231782894
21,P,6.35,27.3,26.00430615743,5.53333333333333,1.55308064663339,15.9458506666667,42.7894818096954,11.1758049712779,68.6,5.5,2.19,68.0,0.032205882352941174,10,56.5,0.0614443374879209,230.776945515771,0.85650464926595,3.6858708289827,4.542375478248649,0.632560418774046,0.18855875155353352,1.3540282063900335,7.180935359585328
22,P,7.26,27.0,26.0154406229655,5.52666666666667,1.20428091153512,18.1077466666667,13.0510574829627,35.0174459420981,82.1333333333333,5.5,2.8,78.66,0.03559623696923468,10,54.0,0.0438304232055542,134.374264457543,3.43931846041004,1.33348595578734,4.7728044161973795,0.508500922356216,0.7206074585285933,6.763642520987842,9.386029024454603
23,P,7.6,27.25,26.0203749338786,4.85,1.52228522565275,20.9408533333333,39.5617536837089,25.3125787770916,115.733333333333,11.3,3.98,67.4466666666667,0.05900958782247699,6,59.9,0.0561551451624633,184.660165515022,2.76003089780797,4.2708480181034,7.030878915911369,0.680087131954177,0.3925584455112472,4.058348949901813,10.33820312951473
24,P,5.1,27.55,26.0041122436523,6.14,1.91980759482733,10.9933733333333,43.2844969706453,15.0413970703968,23.3333333333333,4.2,2.52,30.0,0.084,8,55.2,0.0626227331973466,140.877935150911,4.71723377370538,3.28791600004667,8.00514977375205,0.632751839619056,0.5892748926662981,7.455108746179796,12.651325958327513
25,LP,9.05,27.25,26.0821933746338,4.89,1.69405373143121,20.30872,39.4844245131524,24.4908265950624,86.8,6.3,2.33,24.42,0.09541359541359541,8,57.0,0.0356445070341035,195.825689206867,1.2888110213157,2.68043231265918,3.9692433339748803,0.394895173161264,0.3246994232588554,3.2636788416489106,10.051384781940483
26,LP,9.5,26.85,26.0887088775635,6.58333333333333,1.65361564280062,21.23968,35.6182417731666,10.0892591738844,88.2,3.7,3.0,42.56,0.07048872180451128,8,61.4,0.0332028953493615,188.500753972053,1.34501271349797,3.64714098860455,4.99215370210252,0.358111632354634,0.26942534099691234,3.7558475960535644,13.940216544428932
27,LP,4.95,27.2,26.1101722717285,5.97,1.40949317659245,30.01484,37.716048157149,9.73083113637116,113.866666666667,2.5,2.65,66.0,0.04015151515151515,8,50.1,0.0258050281682657,200.865080619567,5.08286958174711,2.44970026819921,7.53256984994632,0.276044332332459,0.674785588849645,18.413236521826008,27.28753670216396
