ID,Treatment,SM,ST,Tair,pH,SBD,SOM,SAK,SOP,SAN,△Height,Leaf Weight (g),Total leaf area (cm2),Specific leaf area (g/cm2),Leaf number,SPAD,Cond,Ci,Pn,R,Pg,Trmmol,CUE,WUEn,WUEg
1,C,5.65,27.45,24.92478,6.15333,1.25378,22.05571,16.34437,18.85568,113.4,7.5,1.65,72.33333,0.02281,8,52.6,0.04163,227.53026,0.53001,1.61872,2.14873,0.53395,0.24666,0.99262,4.02419
2,C,8.7,27.55,25.06825,6.18667,1.60958,27.62997,41.31168,43.25438,87.26667,4.0,1.73,42.66667,0.04055,8,74.6,0.02415,160.05264,1.4191,0.73651,2.15561,0.27167,0.65833,5.22362,7.93467
3,C,10.9,27.8,25.12564,5.10333,1.503,18.69391,51.46546,15.39424,80.73333,3.0,1.75,32.2,0.05435,8,87.7,0.02596,246.20051,0.2443,0.41163,0.65593,0.29781,0.37245,0.82031,2.20249
4,C,10.3,27.45,25.21298,5.23,1.77653,18.99273,22.19817,23.46874,56.0,4.9,2.29,47.34667,0.04837,8,53.8,0.03769,240.57811,0.17649,0.6772,0.85369,0.46601,0.20673,0.37872,1.83191
5,C,6.95,27.65,25.24326,4.63,1.63212,25.50945,40.50119,57.52808,119.0,3.5,2.61,62.82667,0.04154,8,45.2,0.04998,214.52548,1.06936,1.42334,2.49271,0.62953,0.429,1.69867,3.95962
6,C,6.7,27.4,25.34585,6.61,1.76148,19.06169,45.84245,19.341,63.93333,1.5,2.27,45.9,0.04946,8,83.5,0.03452,233.11583,0.33865,1.04968,1.38832,0.3967,0.24392,0.85366,3.4997
7,L,5.6,27.3,25.38347,5.88333,1.48059,31.60092,52.36792,41.79441,128.33333,0.0,2.18,54.90667,0.0397,8,89.2,0.05651,200.59857,1.63242,0.2653,1.89772,0.75466,0.8602,2.16311,2.51466
8,L,11.25,27.45,25.56157,5.48667,1.20167,15.18787,50.19021,16.2497,77.46667,2.5,2.53,48.26,0.05242,8,62.5,0.03465,193.38667,1.15429,0.36761,1.5219,0.49157,0.75845,2.34814,3.09596
9,L,9.4,27.45,25.63508,5.41333,1.56507,27.27943,20.89861,35.1367,127.4,2.5,3.05,42.33333,0.07205,10,53.9,0.0716,213.44716,1.60013,1.21384,2.81396,0.77345,0.56864,2.06883,3.63822
10,L,7.75,27.4,25.70632,5.39,1.88507,13.98739,32.81759,12.51907,87.26667,3.0,1.81,66.98667,0.02702,10,46.5,0.06011,173.48104,3.28486,1.37282,4.65768,0.64917,0.70526,5.0601,7.17484
11,L,9.7,27.15,25.75243,6.74,1.84508,22.25684,44.7227,36.04331,36.86667,1.4,1.6,62.0,0.02581,6,48.7,0.03713,77.35845,4.17778,1.49946,5.67724,0.46478,0.73588,8.98864,12.21479
12,L,6.3,27.2,25.76743,4.52667,1.6875,22.27408,77.51162,24.67273,87.73333,2.3,2.02,70.35333,0.02871,6,50.6,0.06541,227.14388,1.06242,2.03849,3.10091,0.74202,0.34261,1.43179,4.179
19,P,7.55,27.35,26.01649,5.31333,1.66496,32.72727,26.48381,15.27686,142.33333,0.4,2.46,37.12,0.06627,8,89.8,0.02821,124.5593,2.30063,1.36435,3.66498,0.30962,0.62773,7.43051,11.83706
20,P,9.7,27.25,26.03509,5.91,1.55121,29.27352,32.86267,66.73711,118.06667,6.5,1.75,31.82,0.055,8,47.1,0.06155,212.46686,1.51128,0.72412,2.23539,0.64193,0.67607,2.35428,3.48232
21,P,6.35,27.3,26.00431,5.53333,1.55308,15.94585,42.78948,11.1758,68.6,5.5,2.19,68.0,0.03221,10,56.5,0.06144,230.77695,0.8565,3.68587,4.54238,0.63256,0.18856,1.35403,7.18094
22,P,7.26,27.0,26.01544,5.52667,1.20428,18.10775,13.05106,35.01745,82.13333,5.5,2.8,78.66,0.0356,10,54.0,0.04383,134.37426,3.43932,1.33349,4.7728,0.5085,0.72061,6.76364,9.38603
23,P,7.6,27.25,26.02037,4.85,1.52229,20.94085,39.56175,25.31258,115.73333,11.3,3.98,67.44667,0.05901,6,59.9,0.05616,184.66017,2.76003,4.27085,7.03088,0.68009,0.39256,4.05835,10.3382
24,P,5.1,27.55,26.00411,6.14,1.91981,10.99337,43.2845,15.0414,23.33333,4.2,2.52,30.0,0.084,8,55.2,0.06262,140.87794,4.71723,3.28792,8.00515,0.63275,0.58927,7.45511,12.65133
25,LP,9.05,27.25,26.08219,4.89,1.69405,20.30872,39.48442,24.49083,86.8,6.3,2.33,24.42,0.09541,8,57.0,0.03564,195.82569,1.28881,2.68043,3.96924,0.3949,0.3247,3.26368,10.05138
26,LP,9.5,26.85,26.08871,6.58333,1.65362,21.23968,35.61824,10.08926,88.2,3.7,3.0,42.56,0.07049,8,61.4,0.0332,188.50075,1.34501,3.64714,4.99215,0.35811,0.26943,3.75585,13.94022
27,LP,4.95,27.2,26.11017,5.97,1.40949,30.01484,37.71605,9.73083,113.86667,2.5,2.65,66.0,0.04015,8,50.1,0.02581,200.86508,5.08287,2.4497,7.53257,0.27604,0.67479,18.41324,27.28754
28,LP,8.25,27.3,26.23678,5.63333,1.50364,11.42667,82.79267,50.46604,90.7235,2.4,3.5,97.30667,0.03597,8,53.7,0.05895,231.73109,0.73274,0.52417,1.25691,0.75719,0.58297,0.96772,1.65998
29,LP,5.95,27.15,26.24589,5.87,1.96221,28.09333,43.716,70.50172,32.89137,0.5,2.51,34.24,0.07331,8,55.6,0.04234,143.5453,3.05489,0.44375,3.49864,0.49212,0.87317,6.20765,7.10935
30,LP,13.5,27.3,26.23115,5.605,1.36211,16.59,90.2535,35.6297,128.4115,1.9,3.71,44.2,0.08394,5,67.9,0.03972,244.72257,2.67409,2.12173,4.79581,0.46113,0.55759,5.79898,10.40011
